arm,epoch,train_mse,val_mse,train_seconds,train_seconds_cumulative,wall_seconds,gamma_effective
exact,1,0.29783381356133354,0.47892106496370757,42.260363969020545,42.260363969020545,130.55919489404187,
exact,2,0.21392864651150173,,41.39849609974772,83.65886006876826,171.9595474442467,
exact,3,0.1715054953539813,,41.487130226101726,125.14599029486999,213.44840490538627,
exact,4,0.14979131133468063,,40.59092352818698,165.73691382305697,254.04122549202293,
exact,5,0.1331278262314973,0.25302124940432036,40.31347583513707,206.05038965819404,375.26357268029824,
exact,6,0.12025665795361554,,40.07755204103887,246.1279416992329,415.3429350522347,
exact,7,0.10971097151438396,,40.505947527009994,286.6338892262429,455.8507599583827,
exact,8,0.10097958864989104,,40.46383412880823,327.09772335505113,496.3163485303521,
exact,9,0.09365828390474673,,41.48877871083096,368.5865020658821,537.8069852762856,
exact,10,0.08747312757703993,0.15364306706648606,40.20425873575732,408.7907608016394,658.2258261004463,
cache,1,0.2978431560375072,0.47889522405771107,56.43674514396116,56.43674514396116,165.38796844985336,
cache,2,0.21390170521206325,,57.29579779924825,113.73254294320941,222.68573587806895,
cache,3,0.17149169356734664,,56.03198865894228,169.7645316021517,278.7196528567001,
cache,4,0.14977805702774613,,54.77067225985229,224.53520386200398,333.49221320683137,
cache,5,0.13311670003113923,0.25299835205078125,54.665971123147756,279.20117498515174,493.7501565408893,
cache,6,0.12024841043684217,,55.19694469496608,334.3981196801178,548.9490577201359,
cache,7,0.10970638416431568,,55.47244252311066,389.8705622032285,604.4233088167384,
cache,8,0.10097702785774514,,55.26364214485511,445.1342043480836,659.6888627349399,
cache,9,0.09365696377224392,,54.8575953328982,499.9917996809818,714.5483157308772,
cache,10,0.08747410774230957,0.15364830769025362,54.336892096791416,554.3286917777732,871.7387995030731,
smooth,1,0.29832935333251953,0.4684425500723032,57.42417382914573,57.42417382914573,174.19756169524044,0.6212705373764038
smooth,2,0.20812233289082846,,58.12512368662283,115.54929751576856,232.3254953622818,0.6193183064460754
smooth,3,0.16933084417272498,,56.524038646835834,172.0733361626044,288.8521828809753,0.6174654960632324
smooth,4,0.14915295000429507,,56.84303731704131,228.9163734796457,345.6977662919089,0.6167916059494019
smooth,5,0.13401186024701153,0.2551477872408353,56.387424202635884,285.3037976822816,507.221162464004,0.6168356537818909
smooth,6,0.12259112022541187,,55.75431822007522,341.0581159023568,562.9781030099839,0.6174132227897644
smooth,7,0.11375488175286187,,56.49522339506075,397.55333929741755,619.4759091762826,0.6185103058815002
smooth,8,0.10661850152192293,,55.773127902299166,453.3264671997167,675.2516322252341,0.6200520992279053
smooth,9,0.10075600500460025,,56.10373734636232,509.43020454607904,731.3578912080266,0.6219674348831177
smooth,10,0.09578588715306034,0.1627513078542856,55.821276957169175,565.2514815032482,893.4045415851288,0.6241779327392578
