arm,threshold,epoch,training_minutes,wall_minutes
exact,0.1,40,24.06192202901002,36.09381269948402
exact,0.05,75,44.79381299434851,66.06005630594834
cache,0.1,40,29.391372121614403,44.09095376566208
cache,0.05,80,58.73358181926888,86.32041385523044
smooth,0.1,50,36.903315078591305,54.789907100711325
smooth,0.05,,,
