arm,epoch,train_mse,val_mse,train_seconds,train_seconds_cumulative,wall_seconds,gamma_effective
exact,1,0.3901936919600875,0.7211092802194449,38.60253347316757,38.60253347316757,122.65020350273699,
exact,2,0.3133816012629756,,35.58736771391705,74.18990118708462,158.2391567430459,
exact,3,0.25441706622088395,,35.948174588847905,110.13807577593252,194.1890823878348,
exact,4,0.21274016521595143,,36.364329513162374,146.5024052890949,230.55500465165824,
exact,5,0.1878299183315701,0.35121827859144944,36.42428160272539,182.92668689182028,349.44809502502903,
exact,6,0.1653058617203324,,41.344249980989844,224.27093687281013,390.7940798467025,
exact,7,0.1450981652295148,,35.947254449129105,260.21819132193923,426.7429760429077,
exact,8,0.13858198236536096,,37.16171957598999,297.3799108979292,463.90637754509225,
exact,9,0.1331800001638907,,36.77501112502068,334.1549220229499,500.68292044708505,
exact,10,0.12830335122567635,0.2505971651810866,35.56063149869442,369.7155535216443,616.6407567579299,
exact,11,0.12396413308602793,,35.66256314096972,405.37811666261405,652.3049844838679,
exact,12,0.11976968359064173,,35.767885610926896,441.14600227354094,688.0744433696382,
exact,13,0.11593741399270517,,37.656987328547984,478.8029896020889,725.7329991366714,
exact,14,0.11211558624550148,,35.77510087704286,514.5780904791318,761.5096603329293,
exact,15,0.10863069693247478,0.20479303139906663,35.5871625719592,550.165253051091,876.0478794756345,
exact,16,0.10531657713430899,,35.22821252886206,585.393465579953,911.2777370968834,
exact,17,0.10216153109515155,,36.232671848963946,621.626137428917,947.511963008903,
exact,18,0.09934630217375578,,36.63401793129742,658.2601553602144,984.1475087217987,
exact,19,0.09666763853143763,,35.404199284967035,693.6643546451814,1019.5532814078033,
exact,20,0.09424987545719853,0.1708053625546969,35.44901806069538,729.1133727058768,1134.086538144853,
exact,21,0.09171742421609384,,35.41768281767145,764.5310555235483,1169.5058083268814,
exact,22,0.08963642296967683,,35.48887593578547,800.0199314593337,1204.9962006346323,
exact,23,0.08750576001626474,,35.3516806717962,835.37161213113,1240.3494113180786,
exact,24,0.08565310195640281,,35.40104672405869,870.7726588551886,1275.7519898097962,
exact,25,0.08355606043780292,0.14488534743969256,35.54615272488445,906.3188115800731,1390.157149683684,
exact,26,0.08198814921908909,,35.48986647184938,941.8086780519225,1425.64864687901,
exact,27,0.08058867631135164,,35.403891660273075,977.2125697121955,1461.0542413280345,
exact,28,0.07876084468982837,,35.49400162184611,1012.7065713340417,1496.5500715570524,
exact,29,0.0775330419893618,,35.54316621972248,1048.2497375537641,1532.09470558865,
exact,30,0.07692712766152841,0.12612963639772856,35.78059850214049,1084.0303360559046,1647.0537468050607,
exact,31,0.0752975168051543,,35.50645326869562,1119.5367893246002,1682.5618517398834,
exact,32,0.07475072145462036,,35.84371149726212,1155.3805008218624,1718.4071873459034,
exact,33,0.07287297425446687,,36.13907655980438,1191.5195773816667,1754.5518865790218,
exact,34,0.07152161774811922,,36.92464110581204,1228.4442184874788,1791.478139984887,
exact,35,0.0702066664342527,0.10942377952428964,37.4144687987864,1265.8586872862652,1908.7814460569061,
