model,arm,paired_epochs,train_seconds,validation_seconds,train_plus_validation_seconds,mean_epoch_seconds,median_epoch_seconds
dcrnn,exact,100,3251.6118314117193,1312.147862732876,4563.759694144595,32.51611831411719,32.44298271252774
dcrnn,shared_hot,100,3325.0973363146186,1342.1782167078927,4667.275553022511,33.25097336314619,33.069849241524935
gconv_gru,exact,100,2997.8550466261804,1334.2271855217405,4332.082232147921,29.978550466261805,29.76867555989884
gconv_gru,shared_hot+comp,100,3037.355151622556,1336.3700911258347,4373.725242748391,30.37355151622556,30.046805772697553
