model,arm,epoch,train_mse,val_mse,shared_fraction,shared_mean_lag,compensation_updates_rank0,train_seconds,train_seconds_cumulative,eval_seconds_cumulative
dcrnn,exact,1,0.3037452432844374,0.47757163414588344,0.0,0.0,,31.41692881565541,31.41692881565541,59.39314041193575
dcrnn,exact,2,0.21838280889723036,,0.0,0.0,,29.94806714495644,61.36499596061185,59.39314041193575
dcrnn,exact,3,0.17425877959639938,,0.0,0.0,,29.84345715167001,91.20845311228186,59.39314041193575
dcrnn,exact,4,0.1521387365129259,,0.0,0.0,,30.936158241704106,122.14461135398597,59.39314041193575
dcrnn,exact,5,0.1354745935510706,0.25852550910069394,0.0,0.0,,32.23696508491412,154.38157643890008,121.71566836116835
dcrnn,exact,6,0.12245719521133988,,0.0,0.0,,32.149223728105426,186.5308001670055,121.71566836116835
dcrnn,exact,7,0.11176851943687156,,0.0,0.0,,32.88199659716338,219.4127967641689,121.71566836116835
dcrnn,exact,8,0.10277996681354663,,0.0,0.0,,34.20852863974869,253.62132540391758,121.71566836116835
dcrnn,exact,9,0.09522384625894052,,0.0,0.0,,33.25055214529857,286.87187754921615,121.71566836116835
dcrnn,exact,10,0.0888444494318079,0.1565002019588764,0.0,0.0,,33.33964973827824,320.2115272874944,187.34517964255065
dcrnn,exact,11,0.08341315499058476,,0.0,0.0,,34.506330276839435,354.7178575643338,187.34517964255065
dcrnn,exact,12,0.07874772725281892,,0.0,0.0,,34.88593168230727,389.6037892466411,187.34517964255065
dcrnn,exact,13,0.0746871652426543,,0.0,0.0,,34.25393285881728,423.8577221054584,187.34517964255065
dcrnn,exact,14,0.07110814032731233,,0.0,0.0,,32.369750699959695,456.2274728054181,187.34517964255065
dcrnn,exact,15,0.06792107114085445,0.10776787537794846,0.0,0.0,,31.69606287498027,487.92353568039834,249.8490395923145
dcrnn,exact,16,0.06505741013420953,,0.0,0.0,,32.1148352669552,520.0383709473535,249.8490395923145
dcrnn,exact,17,0.062466577247337056,,0.0,0.0,,32.06827552523464,552.1066464725882,249.8490395923145
dcrnn,exact,18,0.060110262146702516,,0.0,0.0,,32.342800398822874,584.449446871411,249.8490395923145
dcrnn,exact,19,0.05795207067772194,,0.0,0.0,,32.89189780270681,617.3413446741179,249.8490395923145
dcrnn,exact,20,0.05596082740359836,0.07954260019155648,0.0,0.0,,31.777851506136358,649.1191961802542,312.1372546502389
dcrnn,exact,21,0.05413777519155432,,0.0,0.0,,32.38971588993445,681.5089120701887,312.1372546502389
dcrnn,exact,22,0.052488485972086586,,0.0,0.0,,32.55373269505799,714.0626447652467,312.1372546502389
dcrnn,exact,23,0.051055819899947556,,0.0,0.0,,32.1857374641113,746.248382229358,312.1372546502389
dcrnn,exact,24,0.04957280114844993,,0.0,0.0,,31.87694679107517,778.1253290204331,312.1372546502389
dcrnn,exact,25,0.048378562485730206,0.0613613655933967,0.0,0.0,,32.1412502177991,810.2665792382322,375.48463354539126
dcrnn,exact,26,0.04722826569168656,,0.0,0.0,,32.34821375505999,842.6147929932922,375.48463354539126
dcrnn,exact,27,0.046237689477426035,,0.0,0.0,,32.09210062911734,874.7068936224096,375.48463354539126
dcrnn,exact,28,0.04523368897261443,,0.0,0.0,,32.44350790185854,907.1504015242681,375.48463354539126
dcrnn,exact,29,0.04428425100114611,,0.0,0.0,,31.85332276020199,939.0037242844701,375.48463354539126
dcrnn,exact,30,0.0434463311124731,0.0495339769583482,0.0,0.0,,32.442457523196936,971.446181807667,437.28534885449335
dcrnn,exact,31,0.04274440694738318,,0.0,0.0,,32.21990480227396,1003.666086609941,437.28534885449335
dcrnn,exact,32,0.041921004101082134,,0.0,0.0,,32.11123334988952,1035.7773199598305,437.28534885449335
dcrnn,exact,33,0.04142943797288118,,0.0,0.0,,31.78821378806606,1067.5655337478966,437.28534885449335
dcrnn,exact,34,0.04076683962786639,,0.0,0.0,,32.48362683085725,1100.0491605787538,437.28534885449335
dcrnn,exact,35,0.04009224750377514,0.04151145540750944,0.0,0.0,,31.96685788873583,1132.0160184674896,499.9093887084164
dcrnn,exact,36,0.03967677222357856,,0.0,0.0,,32.52739690756425,1164.5434153750539,499.9093887084164
dcrnn,exact,37,0.03917942444483439,,0.0,0.0,,32.50990269286558,1197.0533180679195,499.9093887084164
dcrnn,exact,38,0.038705145871197735,,0.0,0.0,,32.31047787377611,1229.3637959416956,499.9093887084164
dcrnn,exact,39,0.03810714019669427,,0.0,0.0,,32.70098847756162,1262.0647844192572,499.9093887084164
dcrnn,exact,40,0.037702061511852125,0.03571352821130019,0.0,0.0,,33.5727313188836,1295.6375157381408,561.6787988925353
dcrnn,exact,41,0.037434295371726704,,0.0,0.0,,32.19230282865465,1327.8298185667954,561.6787988925353
dcrnn,exact,42,0.03696891665458679,,0.0,0.0,,32.23250101087615,1360.0623195776716,561.6787988925353
dcrnn,exact,43,0.0365432843014046,,0.0,0.0,,32.508158286102116,1392.5704778637737,561.6787988925353
dcrnn,exact,44,0.036409348249435425,,0.0,0.0,,32.509325749240816,1425.0798036130145,561.6787988925353
dcrnn,exact,45,0.03597208084883513,0.030672189134817857,0.0,0.0,,32.583812521304935,1457.6636161343195,623.920134538319
dcrnn,exact,46,0.03574420015017191,,0.0,0.0,,32.22950763814151,1489.893123772461,623.920134538319
dcrnn,exact,47,0.035467935933007136,,0.0,0.0,,32.80471296887845,1522.6978367413394,623.920134538319
dcrnn,exact,48,0.03525767723719279,,0.0,0.0,,31.90997481532395,1554.6078115566634,623.920134538319
dcrnn,exact,49,0.03484509719742669,,0.0,0.0,,31.9225399219431,1586.5303514786065,623.920134538319
dcrnn,exact,50,0.035155928797192044,0.026966778131631706,0.0,0.0,,32.486964949872345,1619.0173164284788,686.875965969637
dcrnn,exact,51,0.034664769967397056,,0.0,0.0,,33.31240907218307,1652.3297255006619,686.875965969637
dcrnn,exact,52,0.03484717894483496,,0.0,0.0,,32.02740192832425,1684.3571274289861,686.875965969637
dcrnn,exact,53,0.03559562563896179,,0.0,0.0,,33.78532758401707,1718.1424550130032,686.875965969637
dcrnn,exact,54,0.03431078239723488,,0.0,0.0,,32.24110059812665,1750.3835556111299,686.875965969637
dcrnn,exact,55,0.034160345792770386,0.023768070798653822,0.0,0.0,,32.512987525202334,1782.8965431363322,748.5831348765641
dcrnn,exact,56,0.033643632023422805,,0.0,0.0,,32.09750986704603,1814.9940530033782,748.5831348765641
dcrnn,exact,57,0.03325676476513898,,0.0,0.0,,31.793903386685997,1846.7879563900642,748.5831348765641
dcrnn,exact,58,0.03313524745128773,,0.0,0.0,,33.62427648482844,1880.4122328748927,748.5831348765641
dcrnn,exact,59,0.033064338896009654,,0.0,0.0,,32.85254029696807,1913.2647731718607,748.5831348765641
dcrnn,exact,60,0.03269912357683535,0.022229762031481817,0.0,0.0,,32.05002405727282,1945.3147972291335,811.5185061404482
dcrnn,exact,61,0.032565946932192204,,0.0,0.0,,32.100979430601,1977.4157766597345,811.5185061404482
dcrnn,exact,62,0.0323892092263257,,0.0,0.0,,32.604649473913014,2010.0204261336476,811.5185061404482
