model,arm,paired_epochs,val_mse_threshold,epoch,train_seconds,train_plus_validation_seconds
dcrnn,exact,100,0.1,20,649.1191961802542,961.2564508304931
dcrnn,exact,100,0.05,30,971.446181807667,1408.7315306621604
dcrnn,exact,100,0.04,40,1295.6375157381408,1857.316314630676
dcrnn,exact,100,0.03,50,1619.0173164284788,2305.893282398116
dcrnn,exact,100,0.02,65,2109.334539087955,2983.6239077602513
dcrnn,shared_hot,100,0.1,20,674.6367866084911,997.5502974465489
dcrnn,shared_hot,100,0.05,30,1007.6921903714538,1459.0812053214759
dcrnn,shared_hot,100,0.04,40,1341.6744631868787,1921.2419674303383
dcrnn,shared_hot,100,0.03,50,1674.1732055475004,2383.13977601612
dcrnn,shared_hot,100,0.02,65,2174.301143939607,3075.3813092834316
gconv_gru,exact,100,0.3,10,313.7074393937364,506.850619207602
gconv_gru,exact,100,0.2,20,609.5034650536254,929.1055368105881
gconv_gru,exact,100,0.15,25,757.8820061548613,1140.6910105720162
gconv_gru,exact,100,0.12,35,1052.833227249328,1563.412132287398
gconv_gru,exact,100,0.1,45,1352.022094243206,1989.012279164046
gconv_gru,exact,100,0.08,55,1648.0009673633613,2413.212526798714
gconv_gru,exact,100,0.06,70,2097.8898712391965,3051.2484141979367
gconv_gru,exact,100,0.05,90,2700.5485095316544,3907.594853910152
gconv_gru,shared_hot+comp,100,0.3,10,320.30095762200654,514.3497540312819
gconv_gru,shared_hot+comp,100,0.2,20,621.1875283406116,942.7645714627579
gconv_gru,shared_hot+comp,100,0.15,25,771.5062166121788,1157.2683937395923
gconv_gru,shared_hot+comp,100,0.12,35,1072.752196281217,1585.67838019412
gconv_gru,shared_hot+comp,100,0.1,45,1373.3007611632347,2012.103435330093
gconv_gru,shared_hot+comp,100,0.08,55,1677.6213798490353,2442.4692105506547
gconv_gru,shared_hot+comp,100,0.06,70,2133.9802738884464,3088.4792837481946
gconv_gru,shared_hot+comp,100,0.05,90,2737.5371804693714,3944.4590617367066
