model,epoch,train_mse,holdout_mse,train_seconds,eval_seconds,cumulative_train_seconds,cumulative_train_eval_seconds
DCRNN K=1,62,0.032229,0.021022,19.9747,299.2988,1180.6530000000005,19499.058600000004
DCRNN K=1,63,0.032177,0.021356,19.5579,301.602,1200.2109000000005,19820.218500000003
DCRNN K=1,64,0.032109,0.020976,19.7223,297.087,1219.9332000000004,20137.0278
DCRNN K=1,65,0.032018,0.021153,18.0851,295.7284,1238.0183000000004,20450.8413
DCRNN K=1,66,0.031947,0.020369,19.0405,295.9737,1257.0588000000005,20765.855499999998
DCRNN K=1,67,0.031802,0.020548,19.4622,296.1542,1276.5210000000004,21081.4719
DCRNN K=1,68,0.031754,0.020031,19.2255,295.3333,1295.7465000000004,21396.0307
DCRNN K=1,69,0.031645,0.020116,19.3668,295.3694,1315.1133000000004,21710.7669
DCRNN K=1,70,0.031578,0.019852,19.7418,296.3113,1334.8551000000004,22026.82
DCRNN K=1,71,0.031529,0.020107,19.1871,293.3218,1354.0422000000005,22339.3289
DCRNN K=1,72,0.031506,0.019557,19.2776,292.5231,1373.3198000000004,22651.1296
DCRNN K=1,73,0.031375,0.019786,19.5734,296.5449,1392.8932000000004,22967.247900000002
DCRNN K=1,74,0.03141,0.019843,18.9907,294.4002,1411.8839000000005,23280.6388
DCRNN K=1,75,0.031345,0.019053,19.4681,294.4592,1431.3520000000005,23594.5661
DCRNN K=1,76,0.03119,0.019402,19.5492,297.264,1450.9012000000005,23911.3793
DCRNN K=1,77,0.031247,0.019548,19.3532,297.2282,1470.2544000000005,24227.960700000003
DCRNN K=1,78,0.031199,0.019073,19.5359,293.843,1489.7903000000006,24541.339600000003
DCRNN K=1,79,0.031088,0.019083,16.7538,294.6863,1506.5441000000005,24852.779700000003
DCRNN K=1,80,0.031035,0.019006,19.6857,297.8175,1526.2298000000005,25170.282900000006
DCRNN K=1,81,0.03101,0.019,17.4832,298.0114,1543.7130000000004,25485.777500000004
DCRNN K=1,82,0.030972,0.018755,19.2512,295.9628,1562.9642000000003,25800.991500000004
DCRNN K=1,83,0.030923,0.018804,18.7822,296.971,1581.7464000000004,26116.744700000007
DCRNN K=1,84,0.03087,0.01861,19.6429,303.8266,1601.3893000000005,26440.214200000006
DCRNN K=1,85,0.030821,0.018699,19.5565,305.777,1620.9458000000004,26765.547700000006
DCRNN K=1,86,0.030786,0.018533,18.263,298.5035,1639.2088000000003,27082.314200000004
DCRNN K=1,87,0.030741,0.018676,19.5066,293.9557,1658.7154000000003,27395.776500000004
DCRNN K=1,88,0.030721,0.018553,19.35,293.7829,1678.0654000000002,27708.9094
DCRNN K=1,89,0.030689,0.018427,19.4075,296.3741,1697.4729000000002,28024.691000000003
DCRNN K=1,90,0.030654,0.018645,19.3646,295.7263,1716.8375000000003,28339.7819
DCRNN K=1,91,0.030642,0.018412,19.3467,294.0195,1736.1842000000004,28653.1481
DCRNN K=1,92,0.0306,0.018371,19.4976,298.355,1755.6818000000003,28971.000699999997
DCRNN K=1,93,0.030569,0.018583,19.2966,290.2471,1774.9784000000002,29280.5444
DCRNN K=1,94,0.030576,0.0184,19.1236,293.2011,1794.102,29592.869099999996
DCRNN K=1,95,0.030515,0.018322,18.9911,299.0821,1813.0931,29910.942299999995
DCRNN K=1,96,0.030504,0.018552,19.7489,293.9867,1832.842,30224.6779
DCRNN K=1,97,0.030489,0.01815,19.4323,297.4946,1852.2743,30541.604799999997
DCRNN K=1,98,0.030422,0.0184,18.162,293.3049,1870.4363,30853.071699999997
DCRNN K=1,99,0.030437,0.018208,19.5319,295.1765,1889.9682,31167.780099999996
DCRNN K=1,100,0.030407,0.018385,16.1663,295.492,1906.1345000000001,31479.438399999995
DCRNN K=1,101,0.030389,0.01828,17.5274,298.3207,1923.6619,31795.286499999995
DCRNN K=1,102,0.030365,0.018208,19.4927,296.1383,1943.1546,32110.917499999996
DCRNN K=1,103,0.030333,0.018356,19.7967,297.1927,1962.9513000000002,32427.906899999994
DCRNN K=1,104,0.030319,0.018122,19.6409,297.6838,1982.5922000000003,32745.231599999992
DCRNN K=1,105,0.03027,0.018224,19.5452,301.5258,2002.1374000000003,33066.302599999995
DCRNN K=2,1,0.258145,0.339075,27.4895,362.7756,27.4895,390.2651
DCRNN K=2,2,0.178602,0.270027,31.5186,370.3066,59.0081,792.0903000000001
DCRNN K=2,3,0.146696,0.22816,33.577,367.8937,92.5851,1193.5610000000001
DCRNN K=2,4,0.123887,0.192729,33.2157,367.3582,125.8008,1594.1349
DCRNN K=2,5,0.109218,0.164629,33.4865,378.0104,159.2873,2005.6318
DCRNN K=2,6,0.099344,0.145286,36.5277,357.2267,195.815,2399.3862000000004
DCRNN K=2,7,0.092071,0.130384,33.1658,349.7513,228.9808,2782.3033
DCRNN K=2,8,0.08592,0.118752,26.8368,347.2167,255.8176,3156.3568
DCRNN K=2,9,0.080551,0.109783,29.8033,375.7065,285.6209,3561.8666000000003
DCRNN K=2,10,0.076952,0.104843,37.0409,387.174,322.6618,3986.0815000000002
DCRNN K=2,11,0.073502,0.095897,28.3546,386.7801,351.01640000000003,4401.216200000001
DCRNN K=2,12,0.069338,0.087723,34.1072,394.9809,385.1236,4830.304300000001
DCRNN K=2,13,0.065797,0.084033,33.7885,350.1755,418.9121,5214.268300000002
DCRNN K=2,14,0.062773,0.077418,27.7221,350.6483,446.6342,5592.638700000001
DCRNN K=2,15,0.060959,0.073963,30.8638,346.244,477.49800000000005,5969.746500000001
DCRNN K=2,16,0.058764,0.07148,30.9752,371.7677,508.4732,6372.489400000001
DCRNN K=2,17,0.057194,0.065986,38.0267,387.2752,546.4999,6797.791300000001
DCRNN K=2,18,0.05506,0.063194,31.9862,376.2928,578.4861000000001,7206.070300000001
DCRNN K=2,19,0.052293,0.057153,35.5831,376.0471,614.0692000000001,7617.700500000001
DCRNN K=2,20,0.051007,0.056296,33.9496,347.5363,648.0188000000002,7999.1864000000005
DCRNN K=2,21,0.048989,0.05144,25.092,353.1109,673.1108000000002,8377.3893
DCRNN K=2,22,0.047507,0.052144,26.9871,338.322,700.0979000000002,8742.698400000001
DCRNN K=2,23,0.047443,0.047675,29.5695,348.4683,729.6674000000002,9120.736200000001
DCRNN K=2,24,0.045184,0.045852,34.7773,395.1564,764.4447000000001,9550.6699
DCRNN K=2,25,0.04409,0.043718,35.6741,376.3241,800.1188000000001,9962.6681
DCRNN K=2,26,0.043893,0.045496,34.9353,375.7442,835.0541000000001,10373.3476
DCRNN K=2,27,0.04403,0.0451,35.4815,359.9243,870.5356,10768.7534
DCRNN K=2,28,0.04304,0.043186,24.66,341.108,895.1956,11134.521400000001
DCRNN K=2,29,0.042859,0.040069,25.0044,337.6482,920.2,11497.174
DCRNN K=2,30,0.041502,0.038797,28.0907,335.5673,948.2907,11860.832
DCRNN K=2,31,0.041509,0.038893,26.0436,361.7206,974.3343,12248.596200000002
DCRNN K=2,32,0.041146,0.037491,38.253,391.4069,1012.5873,12678.2561
DCRNN K=2,33,0.040283,0.03625,33.5873,384.9549,1046.1746,13096.798300000002
DCRNN K=2,34,0.039155,0.039048,41.8453,387.4791,1088.0199,13526.122700000002
DCRNN K=2,35,0.039115,0.036112,30.6663,332.0429,1118.6862,13888.831900000003
DCRNN K=2,36,0.038552,0.036907,29.0895,344.8465,1147.7757000000001,14262.767900000003
DCRNN K=2,37,0.038555,0.037275,27.5509,338.063,1175.3266,14628.381800000003
DCRNN K=2,38,0.038341,0.036639,26.2024,331.0564,1201.529,14985.640600000002
DCRNN K=2,39,0.037727,0.034216,24.3511,375.8304,1225.8801,15385.822100000003
DCRNN K=2,40,0.037636,0.035556,41.5217,391.6674,1267.4018,15819.011200000003
DCRNN K=2,41,0.037507,0.034107,34.1939,385.3753,1301.5957,16238.580400000003
DCRNN K=2,42,0.03719,0.032036,38.1489,384.3776,1339.7446,16661.106900000002
DCRNN K=2,43,0.037135,0.033906,35.8584,315.8387,1375.603,17012.804000000004
DCRNN K=2,44,0.037322,0.033023,28.4079,336.4698,1404.0109,17377.681700000005
DCRNN K=2,45,0.037269,0.033772,28.4322,335.0877,1432.4431,17741.201600000004
DCRNN K=2,46,0.037617,0.031365,28.0975,326.3682,1460.5406,18095.667300000005
DCRNN K=2,47,0.036661,0.030208,22.2009,367.6103,1482.7415,18485.478500000005
DCRNN K=2,48,0.036393,0.030562,37.5333,382.3461,1520.2748000000001,18905.357900000003
DCRNN K=2,49,0.035918,0.030347,32.6873,374.7847,1552.9621000000002,19312.829900000004
DCRNN K=2,50,0.036145,0.030141,31.4876,384.4559,1584.4497000000001,19728.773400000005
DCRNN K=2,51,0.035431,0.027855,35.4365,311.6595,1619.8862000000001,20075.869400000007
DCRNN K=2,52,0.034516,0.026653,28.8575,334.1475,1648.7437000000002,20438.874400000004
DCRNN K=2,53,0.034639,0.027709,29.2468,332.1512,1677.9905,20800.272400000005
DCRNN K=2,54,0.034381,0.028886,38.1441,391.7206,1716.1346,21230.137100000007
DCRNN K=2,55,0.034236,0.027049,31.5957,375.3896,1747.7303000000002,21637.122400000004
DCRNN K=2,56,0.034004,0.028346,30.2239,372.3776,1777.9542000000001,22039.723900000005
DCRNN K=2,57,0.034651,0.02967,36.9786,342.2032,1814.9328,22418.905700000003
DCRNN K=2,58,0.035327,0.028507,23.81,366.65,1838.7428,22809.365700000006
DCRNN K=2,59,0.036264,0.030724,32.0969,367.9098,1870.8397,23209.372400000007
DCRNN K=2,60,0.036118,0.032908,32.7988,388.1745,1903.6385,23630.34570000001
DCRNN K=2,61,0.035011,0.029981,37.4005,378.2378,1941.039,24045.984000000008
DCRNN K=2,62,0.035098,0.029027,33.5015,372.6743,1974.5405,24452.159800000005
DCRNN K=2,63,0.035128,0.02685,32.5411,373.2987,2007.0816,24857.999600000006
