model,arm,epoch,train_mse,val_mse,train_seconds,train_seconds_cumulative,eval_seconds_cumulative,wall_seconds,gamma,gamma_effective,hot_mean_lag,cold_mean_lag,stale_nonzero_increment_rows
dcrnn,exact,1,0.3037452432844374,0.47757163414588344,34.89881161600351,34.89881161600351,68.32954374421388,108.64619130315259,,,0.0,0.0,0
dcrnn,exact,2,0.21838280889723036,,30.93633389333263,65.83514550933614,68.32954374421388,139.58330322429538,,,0.0,0.0,0
dcrnn,exact,3,0.17425877959639938,,31.048517195973545,96.88366270530969,68.32954374421388,170.64205824397504,,,0.0,0.0,0
dcrnn,exact,4,0.15213872768260814,,30.607802219688892,127.49146492499858,68.32954374421388,201.25335858389735,,,0.0,0.0,0
dcrnn,exact,5,0.1354745935510706,0.2585254999307486,30.60360496584326,158.09506989084184,127.87666612910107,291.4059535260312,,,0.0,0.0,0
dcrnn,exact,6,0.122457190796181,,30.707907801959664,188.8029776928015,127.87666612910107,322.1145954821259,,,0.0,0.0,0
dcrnn,exact,7,0.11176851943687156,,30.511512390803546,219.31449008360505,127.87666612910107,352.62674855301157,,,0.0,0.0,0
dcrnn,exact,8,0.10277996681354663,,30.571228752844036,249.8857188364491,127.87666612910107,383.19866286823526,,,0.0,0.0,0
dcrnn,exact,9,0.09522384625894052,,30.71206776238978,280.59778659883887,127.87666612910107,413.9141077580862,,,0.0,0.0,0
dcrnn,exact,10,0.0888444494318079,0.1565002019588764,30.245579419191927,310.8433660180308,187.3346831202507,503.61948416614905,,,0.0,0.0,0
dcrnn,exact,11,0.08341315057542589,,30.39617532910779,341.2395413471386,187.3346831202507,534.0164411603473,,,0.0,0.0,0
dcrnn,exact,12,0.07874772283766004,,30.401878325268626,371.6414196724072,187.3346831202507,564.4189936551265,,,0.0,0.0,0
dcrnn,exact,13,0.07468716745023374,,30.418664888944477,402.0600845613517,187.3346831202507,594.8383331890218,,,0.0,0.0,0
dcrnn,exact,14,0.07110814253489177,,30.17593293217942,432.2360174935311,187.3346831202507,625.0149835711345,,,0.0,0.0,0
dcrnn,exact,15,0.06792106672569558,0.10776787537794846,30.437204360961914,462.673221854493,248.42606423562393,716.5452625411563,,,0.0,0.0,0
dcrnn,exact,16,0.06505741013420953,,31.719209142960608,494.39243099745363,248.42606423562393,748.265340146143,,,0.0,0.0,0
dcrnn,exact,17,0.062466577247337056,,30.45824657473713,524.8506775721908,248.42606423562393,778.7243227553554,,,0.0,0.0,0
dcrnn,exact,18,0.060110264354281955,,30.30498669622466,555.1556642684154,248.42606423562393,809.0299838390201,,,0.0,0.0,0
dcrnn,exact,19,0.05795207067772194,,30.2860337048769,585.4416979732923,248.42606423562393,839.316797865089,,,0.0,0.0,0
dcrnn,exact,20,0.05596082740359836,0.07954260936150184,30.147159643936902,615.5888576172292,307.5769950663671,928.6166272251867,,,0.0,0.0,0
dcrnn,exact,21,0.0541377862294515,,30.33123075775802,645.9200883749872,307.5769950663671,958.9486094159074,,,0.0,0.0,0
dcrnn,exact,22,0.0524884683114511,,30.190913475118577,676.1110018501058,307.5769950663671,989.1402805340476,,,0.0,0.0,0
dcrnn,exact,23,0.05105579120141489,,30.089659485034645,706.2006613351405,307.5769950663671,1019.2307474343106,,,0.0,0.0,0
dcrnn,exact,24,0.049572781280235005,,30.383381428197026,736.5840427633375,307.5769950663671,1049.6148990723304,,,0.0,0.0,0
dcrnn,exact,25,0.0483784830128705,0.061361613181921154,30.33989759394899,766.9239403572865,366.82710191002116,1139.206689082086,,,0.0,0.0,0
dcrnn,exact,26,0.04722829439021923,,30.409280507825315,797.3332208651118,366.82710191002116,1169.6169076720253,,,0.0,0.0,0
dcrnn,exact,27,0.04623752170138889,,30.161402257159352,827.4946231222712,366.82710191002116,1199.7790258410387,,,0.0,0.0,0
dcrnn,exact,28,0.04523414594155771,,30.379028466064483,857.8736515883356,366.82710191002116,1230.158848775085,,,0.0,0.0,0
dcrnn,exact,29,0.04428382052315606,,30.31815118761733,888.191802775953,366.82710191002116,1260.477842821274,,,0.0,0.0,0
dcrnn,exact,30,0.04344564455526846,0.04953336715698242,30.308506133034825,918.5003089089878,426.197128970176,1350.1580977621488,,,0.0,0.0,0
dcrnn,exact,31,0.042744212680392794,,30.225381141062826,948.7256900500506,426.197128970176,1380.3842449691147,,,0.0,0.0,0
dcrnn,exact,32,0.04192202400278162,,31.445325635839254,980.1710156858899,426.197128970176,1411.83038352523,,,0.0,0.0,0
dcrnn,exact,33,0.04143536311608774,,30.33222545310855,1010.5032411389984,426.197128970176,1442.163294003345,,,0.0,0.0,0
dcrnn,exact,34,0.040780051990791606,,31.43595687672496,1041.9391980157234,426.197128970176,1473.59998599533,,,0.0,0.0,0
dcrnn,exact,35,0.040099400061148184,0.04157090874818655,30.3555289930664,1072.2947270087898,485.09969786694273,1562.859771270305,,,0.0,0.0,0
dcrnn,exact,36,0.039691417305557815,,30.27641211496666,1102.5711391237564,485.09969786694273,1593.136933254078,,,0.0,0.0,0
dcrnn,exact,37,0.039156202916745785,,30.262099096085876,1132.8332382198423,485.09969786694273,1623.399761475157,,,0.0,0.0,0
dcrnn,exact,38,0.0387490259276496,,29.999605847056955,1162.8328440668993,485.09969786694273,1653.4002537443303,,,0.0,0.0,0
dcrnn,exact,39,0.038191402399981464,,30.242137182038277,1193.0749812489375,485.09969786694273,1683.6431001871824,,,0.0,0.0,0
dcrnn,exact,40,0.03770247322541696,0.0362094881442877,30.225534085184336,1223.3005153341219,544.1759920837358,1772.9467137791216,,,0.0,0.0,0
dcrnn,exact,41,0.0376849373181661,,30.259838768281043,1253.560354102403,544.1759920837358,1803.2072985842824,,,0.0,0.0,0
dcrnn,exact,42,0.037005978601950186,,30.316485507879406,1283.8768396102823,544.1759920837358,1833.5245025022887,,,0.0,0.0,0
dcrnn,exact,43,0.03656459185812208,,30.212034283205867,1314.0888738934882,544.1759920837358,1863.7373121371493,,,0.0,0.0,0
dcrnn,exact,44,0.03658419516351488,,30.263300868682563,1344.3521747621708,544.1759920837358,1894.001476668287,,,0.0,0.0,0
dcrnn,exact,45,0.03616886227219193,0.030184470690213717,30.382415181025863,1374.7345899431966,603.2564575034194,1983.4660997260362,,,0.0,0.0,0
