run,epoch,val_mse,train_minutes
dcrnn_exact_s42,1,0.47757163414588344,0.5236154802609235
dcrnn_exact_s42,5,0.25852550910069394,2.573026273981668
dcrnn_exact_s42,10,0.1565002019588764,5.336858788124906
dcrnn_exact_s42,15,0.10776787537794846,8.13205892800664
dcrnn_exact_s42,20,0.07954260019155648,10.818653269670904
dcrnn_exact_s42,25,0.0613613655933967,13.50444298730387
dcrnn_exact_s42,30,0.0495339769583482,16.19076969679445
dcrnn_exact_s42,35,0.04151145540750944,18.866933641124827
dcrnn_exact_s42,40,0.03571352821130019,21.59395859563568
dcrnn_exact_s42,45,0.030672189134817857,24.294393602238657
dcrnn_exact_s42,50,0.026966778131631706,26.983621940474645
dcrnn_exact_s42,55,0.023768070798653822,29.714942385605536
dcrnn_exact_s42,60,0.022229762031481817,32.42191328715223
dcrnn_exact_s42,65,0.019916559641177837,35.15557565146592
dcrnn_exact_s42,70,0.01917616564493913,37.872099899725676
dcrnn_exact_s42,75,0.017188399457014523,40.59707809130195
dcrnn_exact_s42,80,0.016039220759501822,43.30406803716905
dcrnn_exact_s42,85,0.014978677607499637,46.04061343408345
dcrnn_exact_s42,90,0.014713781957442943,48.779098373201364
dcrnn_exact_s42,95,0.013808834438140575,51.48637625485038
dcrnn_exact_s42,100,0.0132837903041106,54.19353052352866
dcrnn_stale1_s42,1,0.47756871810326207,0.5478877516385788
dcrnn_stale1_s42,5,0.25853042419140154,2.6695321186678482
dcrnn_stale1_s42,10,0.1564999222755432,5.623876283806749
dcrnn_stale1_s42,15,0.10775197010773879,8.456642997559781
dcrnn_stale1_s42,20,0.07951450118651757,11.24394644347485
dcrnn_stale1_s42,25,0.06133298461253826,14.000658284686505
dcrnn_stale1_s42,30,0.04967015064679659,16.794869839524228
dcrnn_stale1_s42,35,0.0413189003100762,19.575183375823933
dcrnn_stale1_s42,40,0.03527239079658802,22.361241053114647
dcrnn_stale1_s42,45,0.03042844396371108,25.138965984193298
dcrnn_stale1_s42,50,0.027130490312209495,27.902886759125007
dcrnn_stale1_s42,55,0.02405201357144576,30.700644988015604
dcrnn_stale1_s42,60,0.024297402455256537,33.45975345550881
dcrnn_stale1_s42,65,0.01992018291583428,36.23835239899345
dcrnn_stale1_s42,70,0.018481768667697906,38.99616340365416
dcrnn_stale1_s42,75,0.018261416600300714,41.71114208183717
dcrnn_stale1_s42,80,0.016624576770342313,44.47175906656
dcrnn_stale1_s42,85,0.015023982868744777,47.20079850140028
dcrnn_stale1_s42,90,0.014599964022636414,49.957212261040695
dcrnn_stale1_s42,95,0.015329735210308662,52.686876644124276
dcrnn_stale1_s42,100,0.013128441686813649,55.41828893857698
