model,arm,threshold,epoch,train_minutes,train_validation_minutes,wall_minutes
dcrnn,exact,0.05,30,15.308338481816463,22.41162396465273,22.50263496270248
dcrnn,exact,0.02,65,33.05120656696769,47.081283607752994,47.172859616950156
gconv_gru,exact,0.1,45,19.897796719738594,29.428943599077563,29.483355049400902
gconv_gru,exact,0.05,85,37.62636194607088,54.816961874548966,54.872050463881656
gconv_gru,cache,0.1,45,26.04630512765143,38.47527146206703,38.52119927310074
gconv_gru,cache,0.05,90,51.70945475657936,75.2021380296365,75.248986855483
gconv_gru,comp,0.1,45,27.165011196901713,40.0634274800308,40.248642347667676
gconv_gru,comp,0.05,80,48.34712117810268,70.32888258536501,70.51671290968079
