model,arm,epochs,mean_epoch_seconds,median_epoch_seconds_excluding_first,train_minutes,train_validation_minutes,wall_minutes_to_last_epoch,peak_allocated_gib,peak_reserved_gib
dcrnn,exact,100,30.475943249585107,30.329357238020748,50.793238749308514,71.76862162608498,71.86089963170234,2.035090923309326,43.978515625
gconv_gru,exact,100,26.55105721979402,26.448635138571262,44.25176203299004,64.30676947898077,64.3620555469844,1.8598427772521973,43.978515625
gconv_gru,cache,100,34.45680505873636,34.22307375492528,57.428008431227255,83.3630735177314,83.41011760960488,3.405770778656006,43.9765625
gconv_gru,comp,100,36.25367991304025,36.19733186298981,60.42279985506708,87.58516648518076,87.77367586846619,3.435861110687256,43.9765625
